"seed","log_p_flow","log_p_base","delta","passes_check","margin"
11,-1.89839506149292,-2.22083640098572,0.322441339492798,"True",0.1
22,-1.82892000675201,-2.0554506778717,0.22653067111969,"True",0.1
33,-1.87019503116608,-2.1490204334259,0.278825402259827,"True",0.1
44,-1.83218038082123,-2.06597208976746,0.233791708946228,"True",0.1
55,-1.85040831565857,-2.09098291397095,0.240574598312378,"True",0.1
66,-1.9477653503418,-2.36506581306458,0.417300462722778,"True",0.1
77,-1.83151400089264,-2.05986452102661,0.228350520133972,"True",0.1
88,-1.84975981712341,-2.06547617912292,0.215716361999512,"True",0.1
99,-1.86203336715698,-2.13412117958069,0.272087812423706,"True",0.1
123,-1.84846985340118,-2.09971070289612,0.251240849494934,"True",0.1
